HPM3 configured with 
mask 0x4001
HPM4 configured with mask 0x8001
HPM5 configured with mask 0x2001
HPM6 configured with mask 0x2000
HPM7 configured with mask 0x10000
HPM8 configured with mask 0x0801
HPM9 configured with mask 0x8000
HPM10 configured with mask 0x0101
Start
Stop
DIAG_START
DIAG:1,0,25.077193,8.250172,8.250172,0,1,63.640557,1,4180479.1928,851790.2213,4725995.8216,4180483.8852,851790.4574,4726000.1391,25.3190
DIAG:2,0,23.772076,7.079405,7.664789,0,1,73.262077,1,4180483.1256,851790.7350,4726000.0751,4180483.1551,851790.3086,4726000.8072,14.6728
DIAG:3,0,4.271577,0.386472,5.238683,0,1,75.251973,1,4180481.4693,851791.5660,4725999.9405,4180482.4250,851790.1598,4726001.4754,4.3003
DIAG:4,0,11.276962,1.115540,4.207897,0,0,71.458623,1,4180479.4999,851791.3271,4725996.0440,4180481.6948,851790.0111,4726002.1435,13.1229
DIAG:5,0,8.224357,0.560703,3.478458,0,0,65.644287,1,4180478.8934,851792.3642,4725998.4823,4180480.9647,851789.8623,4726002.8117,3.9506
DIAG:6,0,9.681079,1.990610,3.230484,0,0,59.749003,1,4180478.1304,851796.0624,4726000.4925,4180480.2346,851789.7135,4726003.4798,11.1531
DIAG:7,0,7.080329,1.373726,2.965232,0,0,54.435752,1,4180477.0454,851794.5584,4726000.1931,4180479.5045,851789.5648,4726004.1480,6.0480
DIAG:8,0,25.757568,6.313487,3.383764,0,0,49.837005,1,4180476.4261,851792.5497,4726008.0695,4180478.7744,851789.4160,4726004.8161,20.4192
DIAG:9,0,4.620312,0.461768,3.059098,0,0,45.907336,1,4180476.4352,851791.9007,4726010.1865,4180478.0442,851789.2672,4726005.4843,6.7998
DIAG:10,0,16.961097,5.737720,3.326960,0,0,42.555987,1,4180479.2356,851790.7763,4726008.4674,4180477.3141,851789.1185,4726006.1525,11.9109
DIAG:11,0,14.843156,5.943368,3.096280,0,0,39.691521,1,4180481.8046,851788.1541,4726007.9226,4180476.5840,851788.9697,4726006.8206,14.8271
DIAG:12,0,16.754833,6.134148,3.001754,0,0,37.234593,1,4180481.2153,851791.0345,4726006.2663,4180475.8539,851788.8209,4726007.4888,15.2225
DIAG:13,0,18.728344,10.853499,4.048457,0,0,35.119808,1,4180476.6986,851791.2524,4726006.0200,4180475.1237,851788.6722,4726008.1569,13.6200
DIAG:14,0,5.885491,0.633286,4.000231,0,0,33.294196,1,4180475.3325,851791.1541,4726007.5060,4180474.3936,851788.5234,4726008.8251,3.7518
DIAG:15,0,15.083837,2.489292,4.193090,0,0,31.714948,1,4180474.8466,851790.0239,4726010.9679,4180473.6635,851788.3746,4726009.4932,13.1528
DIAG:16,0,8.869596,1.645866,4.158616,0,0,30.347273,1,4180475.6408,851789.5662,4726010.6581,4180472.9334,851788.2259,4726010.1614,8.7791
