HPM3 configured with 
mask 0x40001
HPM4 configured with mask 0x1000000
HPM5 configured with mask 0x20001
HPM6 configured with mask 0x0202
HPM7 configured with mask 0x1001
HPM8 configured with mask 0x2001
HPM9 configured with mask 0x2000
HPM10 configured with mask 0x8001
Start
Stop
DIAG_START
DIAG:1,0,6.634469,0.781788,0.781788,0,0,63.640557,1,4180485.0745,851792.5983,4726000.2679,4180483.8852,851790.4574,4726000.1391,6.4397
DIAG:2,0,9.601157,2.373613,1.577700,0,0,73.262077,1,4180488.3929,851789.3874,4726000.9095,4180483.1551,851790.3086,4726000.8072,9.0022
DIAG:3,0,11.464876,3.337728,2.164376,0,0,75.251973,1,4180483.9129,851787.2679,4726000.7340,4180482.4250,851790.1598,4726001.4754,5.5825
DIAG:4,0,8.754406,1.286600,1.944932,0,0,71.458623,1,4180483.0882,851789.0822,4726003.5040,4180481.6948,851790.0111,4726002.1435,5.6065
DIAG:5,0,20.774006,5.605935,2.677133,0,0,65.644287,1,4180486.9298,851791.2026,4725997.6220,4180480.9647,851789.8623,4726002.8117,19.9397
DIAG:6,0,7.861089,1.713298,2.516494,0,0,59.749003,1,4180484.8191,851789.3840,4725997.5570,4180480.2346,851789.7135,4726003.4798,6.1113
DIAG:7,0,12.585804,1.232956,2.333131,0,0,54.435752,1,4180485.2342,851788.8871,4725992.9441,4180479.5045,851789.5648,4726004.1480,20.6070
DIAG:8,0,5.104421,0.740997,2.134114,0,0,49.837005,1,4180483.5300,851788.3828,4725992.2444,4180478.7744,851789.4160,4726004.8161,11.9357
DIAG:9,0,17.233268,4.561716,2.403848,0,0,45.907336,1,4180480.0995,851787.4480,4725995.2514,4180478.0442,851789.2672,4726005.4843,5.5713
DIAG:10,0,30.172950,7.721941,2.935657,0,0,42.555987,1,4180478.1140,851787.7714,4726002.6870,4180477.3141,851789.1185,4726006.1525,18.4893
DIAG:11,0,5.423974,0.882670,2.945745,0,0,39.691521,1,4180475.9151,851786.7555,4726003.3879,4180476.5840,851788.9697,4726006.8206,6.2063
DIAG:12,0,19.182948,3.997974,3.108182,0,0,37.234593,1,4180476.5593,851786.0772,4726008.0304,4180475.8539,851788.8209,4726007.4888,15.7540
DIAG:13,0,7.533164,1.778805,2.952289,0,0,35.119808,1,4180473.9200,851785.1136,4726008.5896,4180475.1237,851788.6722,4726008.1569,8.3497
DIAG:14,0,4.886920,0.399019,2.863531,0,0,33.294196,1,4180472.1949,851784.8155,4726010.2232,4180474.3936,851788.5234,4726008.8251,6.9681
DIAG:15,0,8.882345,2.109941,2.513932,0,0,31.714948,1,4180472.4769,851785.3934,4726010.2391,4180473.6635,851788.3746,4726009.4932,4.5801
DIAG:16,0,10.208621,3.163439,2.658946,0,0,30.347273,1,4180473.2795,851786.1749,4726010.4345,4180472.9334,851788.2259,4726010.1614,7.3991
DIAG:17,0,6.390402,1.307672,2.666417,0,0,29.162617,1,4180473.7054,851785.4328,4726011.4281,4180472.2032,851788.0771,4726010.8295,7.7389
DIAG:18,0,7.222075,0.702961,2.662614,0,0,28.137250,1,4180473.3860,851785.7025,4726011.0787,4180471.4731,851787.9283,4726011.4977,6.6248
DIAG:19,0,5.579683,0.271691,2.233611,0,0,27.251173,1,4180472.6940,851785.3882,4726010.8348,4180470.7430,851787.7796,4726012.1658,6.7696
DIAG:20,0,12.216253,4.568352,1.918252,0,0,26.487297,1,4180470.6434,851786.9132,4726010.7876,4180470.0129,851787.6308,4726012.8340,9.9441
DIAG:21,0,5.805524,1.124641,1.942449,0,0,25.830822,1,4180470.8609,851787.3333,4726011.2894,4180469.2828,851787.4820,4726013.5021,6.6158
DIAG:22,0,4.242328,0.277155,1.570368,0,0,25.268773,1,4180470.5003,851787.5741,4726012.4199,4180468.5526,851787.3333,4726014.1703,3.8372
DIAG:23,0,13.956780,3.673698,1.759857,0,0,24.789667,1,4180468.1729,851787.5704,4726014.6492,4180467.8225,851787.1845,4726014.8384,11.2866
DIAG:24,0,15.830252,2.795335,1.999488,0,0,24.383269,1,4180467.7589,851788.3996,4726017.5897,4180467.0924,851787.0357,4726015.5066,15.9008
