counter,attack_type,seed,scenario,TP,FP,FN,TN,n_windows,precision,recall,f1,false_alarm
hpmcounter5,jump,seed4,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter5,jump,seed5,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter5,jump,seed6,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter5,jump,seed7,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter5,jump,seed8,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter5,jump,seed9,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter5,jump,seed10,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter5,jump,seed11,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter5,jump,seed12,III,3,0,146,140,289,1.0,0.0201,0.0395,0.0
hpmcounter5,jump,seed13,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter5,jump,seed14,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter5,jump,seed15,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter5,jump,seed16,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter5,jump,seed17,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter5,jump,seed18,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter5,jump,seed19,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter5,jump,seed20,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter5,jump,seed1,II,12,0,137,140,289,1.0,0.0805,0.1491,0.0
hpmcounter5,jump,seed2,II,14,0,135,140,289,1.0,0.094,0.1718,0.0
hpmcounter5,jump,seed3,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter5,jump,seed4,II,23,0,126,140,289,1.0,0.1544,0.2674,0.0
hpmcounter5,jump,seed5,II,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter5,jump,seed6,II,12,0,137,140,289,1.0,0.0805,0.1491,0.0
hpmcounter5,jump,seed7,II,12,0,137,140,289,1.0,0.0805,0.1491,0.0
hpmcounter5,jump,seed8,II,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter5,jump,seed9,II,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter5,jump,seed10,II,16,0,133,140,289,1.0,0.1074,0.1939,0.0
hpmcounter5,jump,seed11,II,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter5,jump,seed12,II,12,0,137,140,289,1.0,0.0805,0.1491,0.0
hpmcounter5,jump,seed13,II,17,0,132,140,289,1.0,0.1141,0.2048,0.0
hpmcounter5,jump,seed14,II,12,0,137,140,289,1.0,0.0805,0.1491,0.0
hpmcounter5,jump,seed15,II,14,0,135,140,289,1.0,0.094,0.1718,0.0
hpmcounter5,jump,seed16,II,14,0,135,140,289,1.0,0.094,0.1718,0.0
hpmcounter5,jump,seed17,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter5,jump,seed18,II,14,0,135,140,289,1.0,0.094,0.1718,0.0
hpmcounter5,jump,seed19,II,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter5,jump,seed20,II,15,0,134,140,289,1.0,0.1007,0.1829,0.0
hpmcounter5,jump,seed1,I,23,0,126,140,289,1.0,0.1544,0.2674,0.0
hpmcounter5,jump,seed2,I,27,0,122,140,289,1.0,0.1812,0.3068,0.0
hpmcounter5,jump,seed3,I,20,0,129,140,289,1.0,0.1342,0.2367,0.0
hpmcounter5,jump,seed4,I,44,0,105,140,289,1.0,0.2953,0.456,0.0
hpmcounter5,jump,seed5,I,25,0,124,140,289,1.0,0.1678,0.2874,0.0
hpmcounter5,jump,seed6,I,33,1,116,139,289,0.9706,0.2215,0.3607,0.0071
hpmcounter5,jump,seed7,I,26,0,123,140,289,1.0,0.1745,0.2971,0.0
hpmcounter5,jump,seed8,I,37,0,112,140,289,1.0,0.2483,0.3978,0.0
hpmcounter5,jump,seed9,I,26,0,123,140,289,1.0,0.1745,0.2971,0.0
hpmcounter5,jump,seed10,I,40,0,109,140,289,1.0,0.2685,0.4233,0.0
hpmcounter5,jump,seed11,I,27,0,122,140,289,1.0,0.1812,0.3068,0.0
hpmcounter5,jump,seed12,I,35,0,114,140,289,1.0,0.2349,0.3804,0.0
hpmcounter5,jump,seed13,I,33,0,116,140,289,1.0,0.2215,0.3626,0.0
hpmcounter5,jump,seed14,I,29,0,120,140,289,1.0,0.1946,0.3258,0.0
hpmcounter5,jump,seed15,I,41,1,108,139,289,0.9762,0.2752,0.4293,0.0071
hpmcounter5,jump,seed16,I,27,0,122,140,289,1.0,0.1812,0.3068,0.0
hpmcounter5,jump,seed17,I,26,0,123,140,289,1.0,0.1745,0.2971,0.0
hpmcounter5,jump,seed18,I,32,0,117,140,289,1.0,0.2148,0.3536,0.0
hpmcounter5,jump,seed19,I,20,0,129,140,289,1.0,0.1342,0.2367,0.0
hpmcounter5,jump,seed20,I,31,0,118,140,289,1.0,0.2081,0.3444,0.0
hpmcounter8,drift,seed1,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter8,drift,seed2,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed3,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter8,drift,seed4,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed5,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed6,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed7,III,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter8,drift,seed8,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter8,drift,seed9,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed10,III,3,0,146,140,289,1.0,0.0201,0.0395,0.0
hpmcounter8,drift,seed11,III,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter8,drift,seed12,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed13,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed14,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed15,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed16,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed17,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed18,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed19,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed20,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed1,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter8,drift,seed2,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter8,drift,seed3,II,7,0,142,140,289,1.0,0.047,0.0897,0.0
hpmcounter8,drift,seed4,II,4,0,145,140,289,1.0,0.0268,0.0523,0.0
hpmcounter8,drift,seed5,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter8,drift,seed6,II,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter8,drift,seed7,II,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter8,drift,seed8,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter8,drift,seed9,II,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter8,drift,seed10,II,4,0,145,140,289,1.0,0.0268,0.0523,0.0
hpmcounter8,drift,seed11,II,15,0,134,140,289,1.0,0.1007,0.1829,0.0
hpmcounter8,drift,seed12,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter8,drift,seed13,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter8,drift,seed14,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter8,drift,seed15,II,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed16,II,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,drift,seed17,II,4,0,145,140,289,1.0,0.0268,0.0523,0.0
hpmcounter8,drift,seed18,II,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter8,drift,seed19,II,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter8,drift,seed20,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter8,drift,seed1,I,13,0,136,140,289,1.0,0.0872,0.1605,0.0
hpmcounter8,drift,seed2,I,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter8,drift,seed3,I,16,0,133,140,289,1.0,0.1074,0.1939,0.0
hpmcounter8,drift,seed4,I,12,0,137,140,289,1.0,0.0805,0.1491,0.0
hpmcounter8,drift,seed5,I,14,0,135,140,289,1.0,0.094,0.1718,0.0
hpmcounter8,drift,seed6,I,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter8,drift,seed7,I,19,0,130,140,289,1.0,0.1275,0.2262,0.0
hpmcounter8,drift,seed8,I,14,0,135,140,289,1.0,0.094,0.1718,0.0
hpmcounter8,drift,seed9,I,9,0,140,140,289,1.0,0.0604,0.1139,0.0
hpmcounter8,drift,seed10,I,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter8,drift,seed11,I,23,0,126,140,289,1.0,0.1544,0.2674,0.0
hpmcounter8,drift,seed12,I,15,0,134,140,289,1.0,0.1007,0.1829,0.0
hpmcounter8,drift,seed13,I,7,0,142,140,289,1.0,0.047,0.0897,0.0
hpmcounter8,drift,seed14,I,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter8,drift,seed15,I,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter8,drift,seed16,I,3,0,146,140,289,1.0,0.0201,0.0395,0.0
hpmcounter8,drift,seed17,I,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter8,drift,seed18,I,18,0,131,140,289,1.0,0.1208,0.2156,0.0
hpmcounter8,drift,seed19,I,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter8,drift,seed20,I,14,0,135,140,289,1.0,0.094,0.1718,0.0
hpmcounter8,jump,seed1,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,jump,seed2,III,3,0,146,140,289,1.0,0.0201,0.0395,0.0
hpmcounter8,jump,seed3,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter8,jump,seed4,III,3,0,146,140,289,1.0,0.0201,0.0395,0.0
hpmcounter8,jump,seed5,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter8,jump,seed6,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter8,jump,seed7,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter8,jump,seed8,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter8,jump,seed9,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,jump,seed10,III,3,0,146,140,289,1.0,0.0201,0.0395,0.0
hpmcounter8,jump,seed11,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter8,jump,seed12,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter8,jump,seed13,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter8,jump,seed14,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,jump,seed15,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter8,jump,seed16,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter8,jump,seed17,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter8,jump,seed18,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter8,jump,seed19,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter8,jump,seed20,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter8,jump,seed1,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter8,jump,seed2,II,14,0,135,140,289,1.0,0.094,0.1718,0.0
hpmcounter8,jump,seed3,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter8,jump,seed4,II,17,0,132,140,289,1.0,0.1141,0.2048,0.0
hpmcounter8,jump,seed5,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter8,jump,seed6,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter8,jump,seed7,II,9,0,140,140,289,1.0,0.0604,0.1139,0.0
hpmcounter8,jump,seed8,II,7,0,142,140,289,1.0,0.047,0.0897,0.0
hpmcounter8,jump,seed9,II,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter8,jump,seed10,II,22,0,127,140,289,1.0,0.1477,0.2573,0.0
hpmcounter8,jump,seed11,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter8,jump,seed12,II,9,0,140,140,289,1.0,0.0604,0.1139,0.0
hpmcounter8,jump,seed13,II,15,0,134,140,289,1.0,0.1007,0.1829,0.0
hpmcounter8,jump,seed14,II,9,0,140,140,289,1.0,0.0604,0.1139,0.0
hpmcounter8,jump,seed15,II,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter8,jump,seed16,II,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter8,jump,seed17,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter8,jump,seed18,II,16,0,133,140,289,1.0,0.1074,0.1939,0.0
hpmcounter8,jump,seed19,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter8,jump,seed20,II,14,0,135,140,289,1.0,0.094,0.1718,0.0
hpmcounter8,jump,seed1,I,21,0,128,140,289,1.0,0.1409,0.2471,0.0
hpmcounter8,jump,seed2,I,25,0,124,140,289,1.0,0.1678,0.2874,0.0
hpmcounter8,jump,seed3,I,21,0,128,140,289,1.0,0.1409,0.2471,0.0
hpmcounter8,jump,seed4,I,39,0,110,140,289,1.0,0.2617,0.4149,0.0
hpmcounter8,jump,seed5,I,32,0,117,140,289,1.0,0.2148,0.3536,0.0
hpmcounter8,jump,seed6,I,20,2,129,138,289,0.9091,0.1342,0.2339,0.0143
hpmcounter8,jump,seed7,I,23,0,126,140,289,1.0,0.1544,0.2674,0.0
hpmcounter8,jump,seed8,I,32,0,117,140,289,1.0,0.2148,0.3536,0.0
hpmcounter8,jump,seed9,I,25,0,124,140,289,1.0,0.1678,0.2874,0.0
hpmcounter8,jump,seed10,I,41,0,108,140,289,1.0,0.2752,0.4316,0.0
hpmcounter8,jump,seed11,I,22,0,127,140,289,1.0,0.1477,0.2573,0.0
hpmcounter8,jump,seed12,I,35,0,114,140,289,1.0,0.2349,0.3804,0.0
hpmcounter8,jump,seed13,I,31,0,118,140,289,1.0,0.2081,0.3444,0.0
hpmcounter8,jump,seed14,I,32,0,117,140,289,1.0,0.2148,0.3536,0.0
hpmcounter8,jump,seed15,I,41,1,108,139,289,0.9762,0.2752,0.4293,0.0071
hpmcounter8,jump,seed16,I,26,0,123,140,289,1.0,0.1745,0.2971,0.0
hpmcounter8,jump,seed17,I,22,0,127,140,289,1.0,0.1477,0.2573,0.0
hpmcounter8,jump,seed18,I,36,0,113,140,289,1.0,0.2416,0.3892,0.0
hpmcounter8,jump,seed19,I,22,0,127,140,289,1.0,0.1477,0.2573,0.0
hpmcounter8,jump,seed20,I,27,0,122,140,289,1.0,0.1812,0.3068,0.0
hpmcounter10,drift,seed1,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter10,drift,seed2,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed3,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed4,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed5,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed6,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,drift,seed7,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed8,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,drift,seed9,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed10,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,drift,seed11,III,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter10,drift,seed12,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed13,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed14,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,drift,seed15,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed16,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed17,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed18,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,drift,seed19,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed20,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed1,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter10,drift,seed2,II,4,0,145,140,289,1.0,0.0268,0.0523,0.0
hpmcounter10,drift,seed3,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter10,drift,seed4,II,4,0,145,140,289,1.0,0.0268,0.0523,0.0
hpmcounter10,drift,seed5,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter10,drift,seed6,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter10,drift,seed7,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter10,drift,seed8,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter10,drift,seed9,II,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,drift,seed10,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter10,drift,seed11,II,11,0,138,140,289,1.0,0.0738,0.1375,0.0
hpmcounter10,drift,seed12,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter10,drift,seed13,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter10,drift,seed14,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter10,drift,seed15,II,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed16,II,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,drift,seed17,II,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,drift,seed18,II,7,0,142,140,289,1.0,0.047,0.0897,0.0
hpmcounter10,drift,seed19,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter10,drift,seed20,II,3,0,146,140,289,1.0,0.0201,0.0395,0.0
hpmcounter10,drift,seed1,I,12,0,137,140,289,1.0,0.0805,0.1491,0.0
hpmcounter10,drift,seed2,I,9,0,140,140,289,1.0,0.0604,0.1139,0.0
hpmcounter10,drift,seed3,I,16,0,133,140,289,1.0,0.1074,0.1939,0.0
hpmcounter10,drift,seed4,I,13,0,136,140,289,1.0,0.0872,0.1605,0.0
hpmcounter10,drift,seed5,I,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter10,drift,seed6,I,13,0,136,140,289,1.0,0.0872,0.1605,0.0
hpmcounter10,drift,seed7,I,17,0,132,140,289,1.0,0.1141,0.2048,0.0
hpmcounter10,drift,seed8,I,13,0,136,140,289,1.0,0.0872,0.1605,0.0
hpmcounter10,drift,seed9,I,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter10,drift,seed10,I,14,0,135,140,289,1.0,0.094,0.1718,0.0
hpmcounter10,drift,seed11,I,28,0,121,140,289,1.0,0.1879,0.3164,0.0
hpmcounter10,drift,seed12,I,15,0,134,140,289,1.0,0.1007,0.1829,0.0
hpmcounter10,drift,seed13,I,3,0,146,140,289,1.0,0.0201,0.0395,0.0
hpmcounter10,drift,seed14,I,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter10,drift,seed15,I,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,drift,seed16,I,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,drift,seed17,I,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter10,drift,seed18,I,18,0,131,140,289,1.0,0.1208,0.2156,0.0
hpmcounter10,drift,seed19,I,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter10,drift,seed20,I,13,0,136,140,289,1.0,0.0872,0.1605,0.0
hpmcounter10,jump,seed1,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,jump,seed2,III,3,0,146,140,289,1.0,0.0201,0.0395,0.0
hpmcounter10,jump,seed3,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,jump,seed4,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter10,jump,seed5,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter10,jump,seed6,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,jump,seed7,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,jump,seed8,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter10,jump,seed9,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,jump,seed10,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,jump,seed11,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,jump,seed12,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,jump,seed13,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,jump,seed14,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter10,jump,seed15,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,jump,seed16,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter10,jump,seed17,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,jump,seed18,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,jump,seed19,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter10,jump,seed20,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter10,jump,seed1,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter10,jump,seed2,II,13,0,136,140,289,1.0,0.0872,0.1605,0.0
hpmcounter10,jump,seed3,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter10,jump,seed4,II,11,0,138,140,289,1.0,0.0738,0.1375,0.0
hpmcounter10,jump,seed5,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter10,jump,seed6,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter10,jump,seed7,II,9,0,140,140,289,1.0,0.0604,0.1139,0.0
hpmcounter10,jump,seed8,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter10,jump,seed9,II,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter10,jump,seed10,II,16,0,133,140,289,1.0,0.1074,0.1939,0.0
hpmcounter10,jump,seed11,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter10,jump,seed12,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter10,jump,seed13,II,11,0,138,140,289,1.0,0.0738,0.1375,0.0
hpmcounter10,jump,seed14,II,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter10,jump,seed15,II,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter10,jump,seed16,II,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter10,jump,seed17,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter10,jump,seed18,II,16,0,133,140,289,1.0,0.1074,0.1939,0.0
hpmcounter10,jump,seed19,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter10,jump,seed20,II,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter10,jump,seed1,I,18,0,131,140,289,1.0,0.1208,0.2156,0.0
hpmcounter10,jump,seed2,I,25,0,124,140,289,1.0,0.1678,0.2874,0.0
hpmcounter10,jump,seed3,I,22,0,127,140,289,1.0,0.1477,0.2573,0.0
hpmcounter10,jump,seed4,I,35,0,114,140,289,1.0,0.2349,0.3804,0.0
hpmcounter10,jump,seed5,I,27,0,122,140,289,1.0,0.1812,0.3068,0.0
hpmcounter10,jump,seed6,I,26,4,123,136,289,0.8667,0.1745,0.2905,0.0286
hpmcounter10,jump,seed7,I,25,0,124,140,289,1.0,0.1678,0.2874,0.0
hpmcounter10,jump,seed8,I,23,0,126,140,289,1.0,0.1544,0.2674,0.0
hpmcounter10,jump,seed9,I,27,0,122,140,289,1.0,0.1812,0.3068,0.0
hpmcounter10,jump,seed10,I,38,0,111,140,289,1.0,0.255,0.4064,0.0
hpmcounter10,jump,seed11,I,22,0,127,140,289,1.0,0.1477,0.2573,0.0
hpmcounter10,jump,seed12,I,27,1,122,139,289,0.9643,0.1812,0.3051,0.0071
hpmcounter10,jump,seed13,I,28,0,121,140,289,1.0,0.1879,0.3164,0.0
hpmcounter10,jump,seed14,I,28,0,121,140,289,1.0,0.1879,0.3164,0.0
hpmcounter10,jump,seed15,I,25,0,124,140,289,1.0,0.1678,0.2874,0.0
hpmcounter10,jump,seed16,I,26,0,123,140,289,1.0,0.1745,0.2971,0.0
hpmcounter10,jump,seed17,I,17,0,132,140,289,1.0,0.1141,0.2048,0.0
hpmcounter10,jump,seed18,I,36,0,113,140,289,1.0,0.2416,0.3892,0.0
hpmcounter10,jump,seed19,I,22,1,127,139,289,0.9565,0.1477,0.2558,0.0071
hpmcounter10,jump,seed20,I,25,0,124,140,289,1.0,0.1678,0.2874,0.0
