t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
1,0,17.022812,2.816888,2.816888,0,0,63.611138,1,4180483.5792,851792.1422,4725996.7191,4180483.8852,851790.4574,4726000.1391,17.6206,1.000000
2,0,6.257895,0.806704,1.811796,0,0,73.205792,1,4180482.1922,851790.1653,4725994.3371,4180483.1551,851790.3086,4726000.8072,9.3183,1.000000
3,0,33.645512,8.210141,3.944578,0,0,75.173785,1,4180481.5921,851789.9578,4726005.3478,4180482.4250,851790.1598,4726001.4754,24.7199,1.000000
4,0,4.055830,0.233381,3.016779,0,0,71.358176,1,4180482.0160,851789.7877,4726008.8791,4180481.6948,851790.0111,4726002.1435,8.8075,1.000000
5,0,7.105688,1.188883,2.651200,0,0,65.515268,1,4180478.8769,851788.2708,4726010.2436,4180480.9647,851789.8623,4726002.8117,8.1860,1.000000
6,0,15.133395,1.855868,2.518644,0,0,59.581536,1,4180477.7620,851786.4745,4726007.1870,4180480.2346,851789.7135,4726003.4798,7.9917,1.000000
7,0,13.308117,3.666755,2.682660,0,0,54.217664,1,4180475.1748,851789.3000,4726011.3225,4180479.5045,851789.5648,4726004.1480,15.4718,1.000000
8,0,20.982691,10.606293,3.673114,0,0,49.554253,1,4180480.0852,851788.7142,4726009.8488,4180478.7744,851789.4160,4726004.8161,13.3980,1.000000
9,0,7.095812,0.825298,3.356690,0,0,45.544164,1,4180478.8730,851789.5744,4726009.6031,4180478.0442,851789.2672,4726005.4843,2.8587,1.000000
10,0,19.170420,3.177706,3.338792,0,0,42.095053,1,4180479.2422,851788.9199,4726005.7487,4180477.3141,851789.1185,4726006.1525,14.8708,1.000000
11,0,13.539519,2.343455,3.291448,0,0,39.114046,1,4180480.4320,851788.1336,4726009.3353,4180476.5840,851788.9697,4726006.8206,14.2905,1.000000
12,0,20.368201,4.308076,3.641586,0,0,36.520552,1,4180478.6843,851788.3190,4726005.7455,4180475.8539,851788.8209,4726007.4888,16.7227,1.000000
13,0,11.563151,2.821908,3.102762,0,0,34.248163,1,4180476.3772,851788.7361,4726007.9338,4180475.1237,851788.6722,4726008.1569,7.9322,1.000000
14,0,18.384161,2.977719,3.377196,0,0,32.243169,1,4180475.2310,851788.7476,4726004.8218,4180474.3936,851788.5234,4726008.8251,18.5056,1.000000
15,0,7.037029,0.752243,3.333532,0,0,30.462339,1,4180474.4553,851787.8468,4726003.9733,4180473.6635,851788.3746,4726009.4932,10.8772,1.000000
16,0,3.431090,0.187374,3.166683,0,0,28.870804,1,4180474.0015,851787.3149,4726003.6693,4180472.9334,851788.2259,4726010.1614,9.2783,1.000000
17,0,5.250976,0.510216,2.851029,0,0,27.440301,1,4180472.7745,851786.9032,4726004.5660,4180472.2032,851788.0771,4726010.8295,4.0348,1.000000
18,0,15.840334,2.174860,2.007885,0,0,26.147768,1,4180472.0646,851786.4880,4726007.4402,4180471.4731,851787.9283,4726011.4977,9.3805,1.000000
19,0,9.788059,3.236970,2.249053,0,0,24.974256,1,4180472.6769,851787.4009,4726007.9846,4180470.7430,851787.7796,4726012.1658,9.9451,1.000000
20,0,6.244087,1.199131,2.051195,0,0,23.904076,1,4180471.2135,851787.6269,4726008.7462,4180470.0129,851787.6308,4726012.8340,4.3215,1.000000
21,0,10.515727,1.783356,1.995185,0,0,22.924151,1,4180471.4883,851787.6619,4726010.4787,4180469.2828,851787.4820,4726013.5021,8.2895,1.000000
22,0,9.458451,1.509229,1.715301,0,0,22.023498,1,4180470.1063,851787.6261,4726009.8745,4180468.5526,851787.3333,4726014.1703,11.4254,1.000000
23,0,11.374538,3.317151,1.764825,0,0,21.192840,1,4180468.1246,851787.5950,4726009.4005,4180467.8225,851787.1845,4726014.8384,13.5494,1.000000
24,0,22.115021,5.032132,1.970266,0,0,20.424284,1,4180466.9365,851788.0338,4726012.6172,4180467.0924,851787.0357,4726015.5066,16.6623,1.000000
25,0,11.138032,1.373915,2.032433,0,0,19.711080,1,4180466.2670,851787.4881,4726014.5078,4180466.3623,851786.8870,4726016.1747,7.9447,1.000000
26,0,8.682986,1.400870,2.153783,0,0,19.047420,1,4180466.1992,851787.6322,4726014.2701,4180465.6321,851786.7382,4726016.8429,10.2110,1.000000
27,0,9.756777,1.563223,2.259084,0,0,18.428284,1,4180465.1099,851788.0651,4726013.8599,4180464.9020,851786.5895,4726017.5110,12.3179,1.000000
28,0,14.768009,2.506349,2.292233,0,0,17.849306,1,4180464.4138,851788.5590,4726015.9974,4180464.1719,851786.4407,4726018.1792,11.9325,1.000000
29,0,5.060073,0.912298,2.059765,0,0,17.306677,1,4180463.2769,851788.0628,4726016.6047,4180463.4418,851786.2919,4726018.8473,4.1416,1.000000
30,0,8.328578,1.459756,2.085828,0,0,16.797056,1,4180461.9080,851787.8166,4726016.5320,4180462.7116,851786.1432,4726019.5155,10.1529,1.000000
31,0,8.710725,2.439188,2.151411,0,0,16.317501,1,4180461.5950,851786.9181,4726016.7591,4180461.9815,851785.9944,4726020.1836,8.8289,1.000000
32,0,21.189243,4.271686,2.427657,0,0,15.865413,1,4180460.5622,851786.7127,4726015.1648,4180461.2514,851785.8456,4726020.8518,24.7358,1.000000
33,0,9.301579,1.702708,2.266212,0,0,15.438483,1,4180460.4001,851786.3638,4726016.3541,4180460.5213,851785.6969,4726021.5199,5.0659,1.000000
34,0,11.448289,2.282600,1.991259,0,0,15.034658,1,4180460.3354,851786.1700,4726017.7726,4180459.7911,851785.5481,4726022.1881,7.4765,1.000000
35,0,12.062808,1.687132,2.022581,0,0,14.652104,1,4180459.6401,851786.4105,4726019.3879,4180459.0610,851785.3993,4726022.8563,8.1812,1.000000
36,0,8.617073,1.448051,2.027299,0,0,14.289178,1,4180459.4513,851786.1601,4726019.3294,4180458.3309,851785.2506,4726023.5244,11.8462,1.000000
37,0,7.662813,1.648296,2.035807,0,0,13.944402,1,4180458.7854,851785.4100,4726020.2566,4180457.6008,851785.1018,4726024.1926,5.6148,1.000000
38,0,11.254169,4.610522,2.246224,0,0,13.616446,1,4180457.8314,851784.2206,4726020.8748,4180456.8706,851784.9530,4726024.8607,11.2029,1.000000
39,0,15.913294,4.195756,2.574570,0,0,13.304107,1,4180456.5794,851783.5045,4726020.2679,4180456.1405,851784.8043,4726025.5289,19.4861,1.000000
40,0,7.418634,1.106037,2.539198,0,0,13.006297,1,4180456.0188,851783.7070,4726020.3065,4180455.4104,851784.6555,4726026.1970,11.7599,1.000000
41,0,7.938359,1.792469,2.474526,0,0,12.722026,1,4180454.7968,851783.2420,4726020.4561,4180454.6803,851784.5067,4726026.8652,12.3493,1.000000
42,0,16.285386,3.019207,2.349278,0,0,12.450395,1,4180454.3099,851782.7290,4726022.2164,4180453.9501,851784.3580,4726027.5333,10.7141,1.000000
43,0,19.583243,9.280939,3.107101,0,0,12.190583,1,4180452.5448,851781.8935,4726023.8057,4180453.2200,851784.2092,4726028.2015,16.9460,1.000000
44,0,26.884163,8.476311,3.726472,0,0,11.941839,1,4180451.6835,851781.0077,4726026.3644,4180452.4899,851784.0604,4726028.8696,23.6278,1.000000
45,0,23.708051,6.228478,4.180607,0,0,11.703477,1,4180451.2586,851781.1280,4726025.2609,4180451.7598,851783.9117,4726029.5378,25.7017,1.000000
46,0,5.447721,1.017977,4.137599,0,0,11.474866,1,4180450.8845,851781.0811,4726025.9688,4180451.0296,851783.7629,4726030.2059,4.8864,1.000000
47,0,10.803638,2.408262,4.213596,0,0,11.255427,1,4180449.9770,851780.3315,4726025.9473,4180450.2995,851783.6141,4726030.8740,15.8623,1.000000
48,0,13.422104,3.445528,4.097096,0,0,11.044627,1,4180449.4009,851780.6800,4726027.2850,4180449.5694,851783.4654,4726031.5422,7.4051,1.000000
49,0,9.501329,1.260594,3.803580,0,0,10.841972,1,4180448.8102,851780.7124,4726028.4780,4180448.8393,851783.3166,4726032.2103,4.6517,1.000000
50,0,16.349898,5.752878,4.268264,0,0,10.647010,1,4180448.8728,851780.6885,4726028.2287,4180448.1091,851783.1678,4726032.8785,19.1746,1.000000
