t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
1,0,10.816706,1.841393,1.841393,0,0,63.611138,1,4180485.4976,851787.7985,4726000.8956,4180483.8852,851790.4574,4726000.1391,10.3717,1.000000
2,0,13.779102,3.845929,2.843661,0,0,73.205792,1,4180484.2062,851792.3967,4726003.8914,4180483.1551,851790.3086,4726000.8072,11.0464,1.000000
3,0,5.100210,0.663069,2.116797,0,0,75.173785,1,4180483.2292,851790.9708,4726005.8036,4180482.4250,851790.1598,4726001.4754,4.9732,1.000000
4,0,5.752765,0.867843,1.804558,0,0,71.358176,1,4180482.0853,851788.4572,4726007.8161,4180481.6948,851790.0111,4726002.1435,7.4721,1.000000
5,0,19.127014,5.857306,2.615108,0,0,65.515268,1,4180475.5915,851788.7388,4726015.1635,4180480.9647,851789.8623,4726002.8117,24.3911,1.000000
6,0,11.566387,3.483990,2.759921,0,0,59.581536,1,4180477.4025,851786.0768,4726016.7536,4180480.2346,851789.7135,4726003.4798,13.1728,1.000000
7,0,21.783723,4.000623,2.937165,0,0,54.217664,1,4180477.7502,851785.8031,4726012.3303,4180479.5045,851789.5648,4726004.1480,6.7368,1.000000
8,0,13.464100,3.162002,2.965269,0,0,49.554253,1,4180477.6869,851788.0793,4726010.8396,4180478.7744,851789.4160,4726004.8161,4.4008,1.000000
9,0,10.341330,3.150169,2.985814,0,0,45.544164,1,4180480.0213,851787.3448,4726012.6098,4180478.0442,851789.2672,4726005.4843,12.6458,1.000000
10,0,15.030565,5.306944,3.217927,0,0,42.095053,1,4180476.6958,851784.8474,4726011.6092,4180477.3141,851789.1185,4726006.1525,12.1999,1.000000
11,0,16.744721,6.950861,3.728873,0,0,39.114046,1,4180476.4945,851788.1231,4726010.4191,4180476.5840,851788.9697,4726006.8206,9.9299,1.000000
12,0,6.188855,0.981111,3.442392,0,0,36.520552,1,4180476.1932,851786.6961,4726010.4731,4180475.8539,851788.8209,4726007.4888,6.1119,1.000000
13,0,7.851971,0.657437,3.441829,0,0,34.248163,1,4180476.1261,851786.5244,4726012.8145,4180475.1237,851788.6722,4726008.1569,11.0240,1.000000
14,0,9.494916,2.311221,3.586166,0,0,32.243169,1,4180476.8832,851787.4928,4726012.6355,4180474.3936,851788.5234,4726008.8251,7.7544,1.000000
15,0,14.715432,2.558280,3.256264,0,0,30.462339,1,4180475.6524,851788.2627,4726010.7621,4180473.6635,851788.3746,4726009.4932,10.2653,1.000000
