HPM3 configured with 
mask 0x4001
HPM4 configured with mask 0x8001
HPM5 configured with mask 0x2001
HPM6 configured with mask 0x2000
HPM7 configured with mask 0x10000
HPM8 configured with mask 0x0801
HPM9 configured with mask 0x8000
HPM10 configured with mask 0x0101
Start
Stop
DIAG_START
DIAG:1,0,7.291018,1.452643,1.452643,0,0,64.346532,1,4180482.5872,851788.1072,4725999.6351,4180483.8852,851790.4574,4726000.1391,6.6733
DIAG:2,0,5.979387,0.750948,1.101795,0,0,74.607450,1,4180479.6324,851784.8037,4726000.6457,4180483.1551,851790.3086,4726000.8072,9.0389
DIAG:3,0,14.532785,4.009436,2.071009,0,0,77.109830,1,4180480.7026,851788.3085,4725997.7327,4180482.4250,851790.1598,4726001.4754,9.5627
DIAG:4,0,10.314522,0.866431,1.769865,0,0,73.826618,1,4180480.8279,851788.9544,4725993.0418,4180481.6948,851790.0111,4726002.1435,15.0618
DIAG:5,0,35.567128,9.413106,3.298513,0,0,68.651775,1,4180481.8837,851790.1966,4726005.3228,4180480.9647,851789.8623,4726002.8117,24.0955
DIAG:6,0,9.272967,0.684341,2.862818,0,0,63.588252,1,4180481.5330,851789.8882,4726010.0828,4180480.2346,851789.7135,4726003.4798,12.3904
DIAG:7,0,12.300219,1.471089,2.663999,0,0,59.317031,1,4180481.0011,851791.7559,4726008.0478,4180479.5045,851789.5648,4726004.1480,5.9168
DIAG:8,0,3.377045,0.203670,2.356458,0,0,55.961581,1,4180480.3987,851793.2052,4726010.1522,4180478.7744,851789.4160,4726004.8161,8.7118
DIAG:9,0,10.357530,3.056848,2.434279,0,0,53.446882,1,4180479.5441,851790.1640,4726011.0773,4180478.0442,851789.2672,4726005.4843,7.0370
DIAG:10,0,5.072521,0.386322,2.229484,0,0,51.636989,1,4180478.5805,851791.0772,4726011.2111,4180477.3141,851789.1185,4726006.1525,4.2190
DIAG:11,0,5.913948,0.754810,2.159700,0,0,50.386458,1,4180479.4793,851790.3179,4726011.3655,4180476.5840,851788.9697,4726006.8206,5.8094
DIAG:12,0,11.265544,2.015130,2.286118,0,0,49.560778,1,4180479.2202,851787.7835,4726009.8864,4180475.8539,851788.8209,4726007.4888,7.5353
DIAG:13,0,13.444448,5.078150,2.392990,0,0,49.044730,1,4180476.6828,851791.3020,4726009.6179,4180475.1237,851788.6722,4726008.1569,10.2558
DIAG:14,0,4.450487,0.219624,2.328309,0,0,48.744929,1,4180476.5528,851791.6206,4726009.0010,4180474.3936,851788.5234,4726008.8251,5.3024
DIAG:15,0,10.838143,3.124166,1.699415,0,0,48.589091,1,4180472.3219,851792.3935,4726008.2715,4180473.6635,851788.3746,4726009.4932,9.9991
DIAG:16,0,12.732698,4.614024,2.092383,0,0,48.523600,1,4180472.9318,851788.8043,4726007.7195,4180472.9334,851788.2259,4726010.1614,8.6408
DIAG:17,0,13.765497,3.431579,2.288432,0,0,48.510378,1,4180474.3181,851790.8226,4726005.0815,4180472.2032,851788.0771,4726010.8295,16.1346
DIAG:18,0,17.037090,4.273737,2.695439,0,0,48.523712,1,4180470.6035,851789.7510,4726008.5133,4180471.4731,851787.9283,4726011.4977,9.8738
DIAG:19,0,6.807093,0.462447,2.435999,0,0,48.547304,1,4180470.1954,851789.4761,4726006.9946,4180470.7430,851787.7796,4726012.1658,10.0362
DIAG:20,0,5.648395,0.887563,2.486123,0,0,48.571703,1,4180470.5479,851790.6993,4726007.3623,4180470.0129,851787.6308,4726012.8340,7.6664
DIAG:21,0,17.301090,4.736713,2.884313,0,0,48.592175,1,4180467.0584,851788.2462,4726011.1024,4180469.2828,851787.4820,4726013.5021,11.1257
DIAG:22,0,9.518754,1.469194,2.829720,0,0,48.607011,1,4180463.6276,851787.4625,4726009.6897,4180468.5526,851787.3333,4726014.1703,13.1744
